Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Albania,ALB,3.627100915,3.428071301,2.031592684,1.937620802,1.625865044,3.501208355,-0.36731721,2.060598459,2.028059631,1.41109079,1.620886617,2.041471631,6.725202715,4.759764219,2.214489533
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Bosnia and Herzegovina,BIH,1.996212367,3.67125,2.05267452,-0.093045684,-0.897194054,-1.036023034,-1.5841,0.810133322,1.41710814,0.562782154,-1.051296008,1.981639006,14.02084408,6.105901128,1.692127336
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Bulgaria,BGR,2.438990605,4.219903466,2.954568298,0.890093541,-1.418183803,-0.104633261,-0.798649886,2.061596194,2.814544738,3.103729448,1.672440969,3.297744353,15.32525893,9.442841401,2.44651943
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Croatia,HRV,1.030555053,2.272727273,3.412073491,2.216582064,-0.21519616,-0.464499005,-1.125,1.129372103,1.50012501,0.771820346,0.154811375,2.554506996,10.78058068,7.941281776,3
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Greece,GRC,4.712989078,3.329853234,1.501526962,-0.921269454,-1.312260964,-1.735888048,-0.825653978,1.12125452,0.625621413,0.253007522,-1.247983556,1.22382501,9.645259813,3.464801285,2.741490458
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Kosovo,XKX,3.480507637,7.336417713,2.476737822,1.767324284,0.428957808,-0.536929393,0.273169431,1.488234306,1.053797737,2.675992026,0.198227923,3.353691392,11.58051045,4.944324388,1.619449946
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Montenegro,MNE,0.65494657,3.450143112,4.14524725,2.205892681,-0.710514052,1.548691582,-0.271385023,2.380235991,2.611223783,0.361563705,-0.2556557,2.410801984,13.04030363,8.584769105,3.336750093
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,North Macedonia,MKD,1.50997522,3.904754221,3.316055667,2.785000567,-0.281705033,-0.299920476,-0.239290788,1.351618897,1.458312985,0.766439573,1.200073489,3.230749121,14.20471732,9.361872498,3.48974086
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Romania,ROU,6.091416686,5.789253288,3.334922677,3.984712355,1.068309877,-0.594156437,-1.544796668,1.339021211,4.625484431,3.827854326,2.631073112,5.052328761,13.79548874,10.39718748,-4.519110142
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Serbia,SRB,6.142553602,11.13739763,7.330385896,7.694263629,2.082447939,1.39235822,1.122313974,3.131062486,1.959840763,1.849229845,1.575532901,4.085102853,11.98151173,12.37190436,4.670529749
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Slovenia,SVN,1.801170221,1.802851719,2.59741386,1.769200859,0.199343827,-0.525552286,-0.054999542,1.429107433,1.73860862,1.630522608,-0.054856816,1.917065061,8.833698867,7.446877174,1.965626564
